Word	[ (Document1, Count1), ... ]
1969	(8, 1) (4, 1) (20, 1) 
1969hainsworth	(25, 1) 
1970	(17, 1) (8, 3) (18, 1) 
1970civil	(21, 1) 
1970s	(15, 1) (27, 1) (26, 1) (17, 1) 
1970swettenham	(19, 1) 
1971	(10, 1) (5, 1) (28, 1) 
1971during	(10, 1) 
1971meghna	(5, 1) 
1971moffat	(19, 1) 
1971urquhart	(10, 1) 
1972varley	(20, 1) 
1973	(28, 1) (15, 1) (8, 1) 
1973otway	(10, 1) 
1974	(10, 3) (9, 1) (22, 2) (15, 1) (4, 1) 
1974bruijn	(25, 1) 
1974harclerode	(10, 1) 
1975	(10, 2) (7, 1) (13, 1) (12, 1) 
1976	(10, 1) (19, 1) 
1976world	(17, 1) 
1977	(2, 1) (10, 1) (22, 1) 
1977naval	(21, 1) 
1978	(10, 2) (8, 2) 
1978byrnes	(20, 1) 
1979	(15, 1) 
1979devore	(10, 1) 
197–219hazen	(20, 1) 
1980	(4, 1) (10, 1) 
1980s	(8, 1) (12, 1) (30, 2) (13, 1) (27, 1) 
1980scommand	(27, 1) 
1981flanagan	(10, 1) 
1982	(27, 1) (22, 4) (28, 1) (8, 2) (19, 1) (9, 1) (21, 1) 
1982pincus	(25, 1) 
1983	(25, 1) (10, 1) (9, 1) 
198318	(20, 1) 
1984	(10, 1) 
1984during	(9, 1) 
1984saunders	(10, 1) 
1985	(12, 1) (13, 1) 
1985buckingham	(10, 1) 
1985cavour	(13, 1) (12, 1) 
1985keegan	(10, 1) 
1986	(9, 1) (19, 2) (17, 1) 
1987	(17, 1) (19, 1) (9, 1) (28, 2) 
1987whiting	(10, 1) 
1988	(28, 1) (30, 2) 
1988whiting	(10, 1) 
1989	(10, 1) (5, 2) (19, 1) (26, 1) 
199	(27, 1) 
1990	(27, 1) (26, 1) (12, 1) (21, 1) (8, 1) (15, 2) (13, 1) (24, 1) 
1990rawson	(10, 1) 
1990s	(26, 1) (27, 1) 
1991	(24, 1) (21, 1) (22, 1) (28, 1) (8, 2) 
1992	(26, 1) (22, 1) 
1992external	(10, 1) 
1993	(1, 1) (24, 1) (27, 1) (19, 1) 
1993dwyer	(22, 1) 
1993geyl	(25, 1) 
1994	(5, 2) (1, 1) (10, 1) 
1994ailsby	(5, 1) 
1994bartlett	(22, 1) 
1994gregory	(10, 1) 
1995	(24, 1) (25, 1) (12, 1) (17, 1) (13, 1) 
1995ministry	(10, 1) 
1996	(19, 1) (25, 1) (20, 1) 
1996harclerode	(10, 1) 
1997	(13, 1) (12, 1) (9, 2) (25, 1) (4, 2) 
1997kershaw	(10, 1) 
1998	(12, 1) (13, 1) (24, 1) (25, 1) (9, 3) 
1998historynetcom	(10, 1) 
1998horrocks	(10, 1) 
1998ireland	(22, 1) 
1998israel	(25, 1) 
1998jewell	(10, 1) 
1998–1999	(8, 1) 
1999	(8, 1) (20, 1) (5, 2) (13, 1) (12, 1) (4, 1) (24, 2) (17, 1) 
1999department	(10, 1) 
1999external	(24, 1) 
1999hibbert	(10, 1) 
1999–2000	(10, 1) 
19th	(21, 3) (19, 2) (20, 3) 
19th-century	(21, 1) 
19–20	(19, 1) 
19–21ogg	(25, 1) 
19–31	(19, 1) 
1algeriacurrentkalaat	(12, 1) (13, 1) 
1hitlers	(2, 1) 
1st	(2, 2) (21, 1) (10, 18) (5, 11) (22, 3) (24, 1) 
1⁄4the	(22, 1) 
2	(22, 3) (10, 4) (12, 16) (25, 1) (8, 2) (17, 1) (9, 2) (21, 4) (20, 1) (2, 5) (19, 7) (13, 16) (5, 5) (27, 9) 
2+1⁄2	(22, 1) (26, 1) 
2-inch	(27, 1) 
2-pdr	(27, 1) 
2-pounder	(30, 1) 
2/10th	(19, 3) 
2/4th	(10, 1) 
20	(10, 4) (19, 4) (27, 12) (26, 2) (12, 7) (8, 1) (2, 8) (25, 1) (20, 1) (21, 10) (9, 1) (5, 1) (24, 1) (29, 1) (16, 1) (22, 4) (13, 7) 
20%	(26, 1) (3, 1) 
20-232	(10, 1) 
200	(10, 2) (26, 2) (27, 1) (19, 2) (2, 1) (22, 4) (24, 3) (9, 3) 
2000	(9, 4) (19, 1) (10, 1) (8, 1) (18, 2) (24, 2) (22, 2) (11, 1) (5, 2) 
20000	(5, 1) (22, 1) (24, 1) (7, 1) 
200000	(24, 1) (2, 2) 
20000–22000	(21, 1) 
2000aew	(9, 1) 
2000encyclopædia	(8, 1) 
2000frost	(10, 1) 
2000general	(9, 1) 
2000harclerode	(10, 1) 
2000s	(9, 1) (30, 1) 
